标题: 深度学习是什么-爱问教育
链接: http://www.baidu.com/link?url=-jYRmSMCsL42M7-D7rUpGFMWOQjI90DNpoqHYmjld0doPjgYqYvmm9Vq7bVk7vhs7NDTpyLHm8MbO3jHBA-9XK
总结: 深度学习是什么-爱问教育当前位置：首页教育知识百科深度学习是什么豁达精选回答1、深度学习，是一个专业概念。美国国家研究理事会概括出深度学习的本质，即个体能够将其在一个情境中所学运用于新情境的过程。2、深度学习所对应的素养划分为三个领域：认知领域、人际领域和自我领域。3、深度学习是从三维目标达成学习到核心目标达成提升的学习。4、深度学习是对学习力培养的学习。正如田玉博士所说：学习的活力——感知力、思维力、创新力。感知力是入口，思维力是加工，创新力是出口。感知力是学习前奏，思维力是学习内核，创新力是学习终极结果。5、深度学习就是转知成智、转识成慧、化凡成圣。6、深度学习就是解决问题层次逐级提高的学习。给问题、给方法、找结论；给问题、悟方法、找结论；创设情境，让学生发现问题，找出方法，得出结论。7、深度学习是从当前外控到内驱力驱动的转型学习。8、深度学习是从当前同质化整齐划一的学习向个性化选择性学习变革的学习。轻其一片海2023-12-0113:11:18相关推荐洞悉和熟悉的区别半程旅航熟悉只是表面上的认识、熟知。如这个人我们原来是同学，我比较熟悉。而洞悉不仅熟知，还能从熟知的表面现象敏感觉察到人和事物内部的本质，并能预知事物发展的方向。如他常常能从一些事物的表面现象，敏锐洞悉事情的走向，作出...展开详情葬尊是什么清风煮酒葬尊是智者，是英雄。大巫贤的故事里，很久很久以前，有个在朝廷当大官的欺压百姓，捣毁了许多村子的祠堂寺庙，还到处杀人，每个村里的大巫贤都被杀了，是六葬菩萨显灵降下大雨，山石堵塞官道，奘铃村的先祖才能带着经书和冥陀...展开详情绣球花的赞美做人要淡定1、绣球花不像玫瑰和牡丹那样娇贵，只要有土有水有阳光，它就能生长得很茂盛。给人们美的享受。2、绣球花长开不败，这簇花萎谢了，那团花又盛开了，始终药薪郁郁，生机勃勃。3、绣球花开得那么鲜艳，那么红火，几十朵小花挨...展开详情青春豆蔻年华的意思思念式幸福青春豆蔻年华的意思是比喻十三四岁的少女。出自唐·杜牧《赠别》的诗中：“娉娉袅袅十三余，豆蔻梢头二月初。”后来称女子十三四岁的年纪为豆蔻年华。这是杜牧离开扬州的时候，写给一位只有十三岁左右名叫张好好的风尘女子的诗...展开详情火车站办理临时身份证几点上班仗剑天涯火车站24小时都可以办理临时身份证。中华人民共和国临时居民身份证是中华人民共和国内地公民在“申请领取、换领、补领居民身份证期间”可以申请领取的公民身份证明文件。2003年6月28日，第十届全国人民代表大会常务委...展开详情精选推荐更多&gt;同茫茫宇宙相比地球是渺小的说明方法青春依旧同茫茫宇宙相比地球是渺小的说明方法是作比较。作比较是将两种类别相同或不同的事物、现象加以比较来说明事物特征的说明方法。说明某些抽象的或者是人们比较陌生的事物，可以用具体的或者大家已经熟悉的事物和它比较，使读者通过比较得到具体而鲜明的印象。事物的特征也往往在比较中显现出来。在作比较的时候，可以是同类相比，也可以是异类相比，可以对事物进行“横比”，也可以对事物进行“纵比”。作用：把……与……进行比较，突出强调了说明对象的特点。例句：永定河发水时，来势很猛，以前两岸河堤常被冲毁，但是这座桥却从没出过事，足见它的坚固。——《中国石拱桥》秋赏菊的前一句是什么不再唱情歌“秋赏菊”的全句是“踏秋赏菊去登高”，上一句是“重阳节，要敬老”。出自人教版部编本二年级下册课文识字2《传统节日》：春节到，人欢笑，贴窗花，放鞭炮。元宵节，看花灯，大街小巷人如潮。清明节，雨纷纷，先人墓前去祭扫。过端午，赛龙舟，粽子艾香满堂飘。七月七，来乞巧，牛郎织女会鹊桥。过中秋，吃月饼，十五圆月当空照。重阳节，要敬老，踏秋赏菊去登高。转眼又是新春到，全家团圆真热闹。中国传统节日，是中华民族悠久历史文化的重要组成部分，形式多样、内容丰富。传统节日的形成，是一个民族或国家的历史文化长期积淀凝聚的过程。中华民族的古老传统节日，涵盖了原始信仰、祭祀文化、天文历法、易理术数等人文与自然文化内容，蕴含着深邃丰厚的文化内涵。从远古先民时期发展而来的中华传统节日，不仅清晰地记录着中华民族先民丰富而多彩的社会生活文化内容，也积淀着博大精深的历史文化内涵。酯化反应可逆吗孤单蝴蝶影酯化都是可逆反应，酯化在浓硫酸中进行，同时生成的酯在酸性条件下会发生水解，所以是可逆反应。酯化反应，是一类有机化学反应，是醇跟羧酸或含氧无机酸生成酯和水的反应。分为羧酸跟醇反应和无机含氧酸跟醇反应和无机强酸跟醇的反应三类。有机化学又称为碳化合物的化学，是研究有机化合物的组成、结构、性质、制备方法与应用的科学，是化学中极重要的一个分支。含碳化合物被称为有机化合物是因为以往的化学家们认为这样的物质一定要由生物（有机体）才能制造；然而在1828年的时候，德国化学家弗里德里希·维勒，在实验室中首次成功合成尿素（一种生物分子），自此以后有机化学便脱离传统所定义的范围，扩大为烃及其衍生物的化学。精卫填海是民间故事吗漂流《精卫填海》是民间故事。《精卫填海》是中国上古神话传说之一。相传精卫本是炎帝神农氏的小女儿，名唤女娃，一日女娃到东海游玩，溺于水中。死后的女娃化作花脑袋、白嘴壳、红色爪子的一种神鸟，每天从山上衔来石头和草木，投入东海，然后发出“精卫、精卫”的悲鸣，好像在呼唤着自己。基于不同的研究视角，人们把“精卫填海”神话归于不同的神话类型。“精卫填海”神话属于典型的变形神话，且属于变形神话中的“死后托生”神话，即将灵魂托付给现实存在的一种物质。不仅如此，“精卫填海”还属于复仇神话，女娃生前与大海无冤无仇，但是却不慎溺水身亡，如此与大海结下仇恨，化身为鸟终身进行填海的复仇事业。中国上古神话中记录了很多典型的非自然死亡，其中的意外让人看到了先人在自然面前的弱小和无能为力，同时也透出了生命的脆弱。女娃的死就是一种因事故而亡，展现出生命的脆弱和大海的强大。著名作家茅盾则认为：精卫与刑天是属于同型的神话，都是描写百折不回的毅力和意志的，这是属于道德意识的鸟兽神话。常见热点问答热点搜索1-2021-4041-6061-8081-100101-120121-140141-160161-180181-200芒果9元续费怎么取消黄耳是什么凉拌西葫芦丝用焯水吗小米和大米有什么区别正交矩阵最简单例子常熟美食嘉歆的寓意黄锈石哪里卖的最便宜俊翰的寓意remember后加什么形式景睿的寓意安康的寓意申请开公司的流程线性变换的定义广州十大正规的半永久培训学校是哪些学校黑枸杞品牌有哪些老男孩评价八仙过海开过什么生肖社保ca是个u盘吗蜜蜂的介绍以及特点林白担任译制片导演的美国喜剧电影是扫黑风暴老裴哪集暴露的八府巡抚在古代是什么官职共价化合物和离子化合物的区别为什么叫小台农芒果撒冷是什么意思只要年份是4的倍数这一年就是闰年对吗安化县美食不锈钢成分有哪些英国剑桥大学研究生预科有上的必要吗中式正步的由来高压蒸汽灭菌锅注意事项山东协和学院在哪夜郎国在哪里如何防止裙子和丝袜静电烨磊的寓意甲醛高温能否去除化纤是什么材料计算机二级什么时候报名动如脱兔静如初子意思怎么让猕猴桃快速变熟执法办案三个规定牛蒡和山药有什么区别魏是现在的哪个省macbook？air和pro区别活性炭除甲醛有效吗海珠区美食上游多少集大结局阿富汗海拔多少米工业除尘都有什么设备包子怎么收口好看海马的特点和解歌曲（和解）赞助是白给的意思吗一朵小红花的寓意是什么蟑螂白天一般藏在什么地方白色菊花寓意着什么红薯的特点速冻豆角做法步骤天各一方的演员有哪些浑江区美食盘鳝怎么炒消电检测是什么意思活螃蟹保存10天方法cg什么意思170/74a是什么尺码隆回县美食香水edp和edt的区别砂锅需要开锅吗华为快应用中心是什么天下第一名刹的是哪个寺庙达孜县美食为什么叫接风洗尘怎么清除cdr卸载残留卢氏的由来往后余生下一句高处作业是指在距坠落高度基准面密封袋哪里可以买得到气环的作用是什么茄子的另外一个名字是什么内存卡无法格式化樱桃树的特点银河系和仙女系哪个大access和office及格率一花一世界,一叶一菩提的意思食骨蠕虫的特点爱迪生书包怎么样cad标注怎么设置燕窝功效哪个外卖可以买烟西红柿软了是不是坏了冬天气压比夏天高还是低十三朝古都是哪里农村壁挂炉冻了怎么办昆明高铁站是哪个站?国际航班托运行李要求飞机起飞为什么要三绕什么是土地龙植物女人梦见别人掉牙什么意思小苏打可以做哪些美食为什么王宝钏只当了18天皇后面起子学名是什么一把石手倒放过来是什么玫瑰花的品质什么颜色可以调成粉红色运百的寓意0.3x2.5x0.4简便计算戾气怎么读奇志的寓意5x5角钢一米多重润滑油保质期一般多久志愿者协会是什么性质的组织生活在水里的恐龙成都是四川吗两参优抚金终身发放吗应用安装器的授权码怎么得到?厚乳是什么木耳泡多了可以冷冻吗冬天水表冻住了怎么办义马市景点7和9的最小公倍数是多少兴修的寓意笑白的寓意素士剃须刀是哪国的墉桥区景点安心铃是什么蛋挞里面可以加什么水果黄岩区景点口红的由来乐亭县美食林姓的来源自行脱团的条件是什么属牛最佳配偶永不谢顶什么意思华为x5手机怎么用另一张卡上网水果可以放冰箱保鲜吗空调回收制冷剂的方法怎么让风干牛肉变软哥伦比亚地理位置环保口号珠颈斑鸠能吃吗clarinet是什么乐器白醋和黑醋有什么区别梦见蟒蛇吃人什么意思好友辅助是什么意思日本是主权国家吗蛋黄上的黑点是什么爬山的梗是如何来的平原适合种植什么茶日本美食陕西和陕北的区别指鹿为马的历史故事彩釉的碗对身体有害吗春天盛开的花有哪些汉虾的做法广西清明节习俗博凯的寓意鸡腿菇炒肉怎么做马头琴是哪个民族的乐器电视的av线是什么空调po是什么意思苹果6plus夜拍功能在哪熊蜂的特点吃剩下的熟虾怎么保存鱼生怎么吃天上飞的什么原唱安阳洹河沿岸村庄的由来什么是粳米那江烟花那江雨在哪个台播表格套用表格样式在哪浮尘天气可以开窗户吗冰丝凉席可以水洗吗春笋与冬笋的区别有哪些椰子鸡的鸡肉为什么不焯水车载系统只能连接蓝牙能投屏吗父母体制内什么意思计算机互联的主要目的是什么熟青团怎么加热天然气水管冻住怎么办急求辛弃疾咏梅88×125的简便运算化妆水可以用在眼部吗夫子庙晚上12点还热闹吗与老师沟通的20句话彩虹的七种颜色分别是什么最舒服的5指键位亚洲和欧洲一码二码区别在送黑皮筋代表什么意思尉氏县美食喜茶发源地凯的由来桃子放冰箱能保存多久失信可以坐高铁吗小十字螺丝滑丝了怎么办鹏天的寓意冬枣放着会变红吗水熊虫的特点金陵是现在的哪里为什么冬天还有蚊子咬人奶茶的梗精选问答大自然的文字有哪些文字言必行行必果谁的名言气体常数R的单位有几种表示屈膝是什么意思中国古代科学家有哪些著名人物陈谏议教子得到什么启示儿得活的儿指的是谁高考报名照片尺寸生成二氧化碳的化学方程式风林火山出自孙子兵法的哪一篇山水画的意境中心论点严肃的肃第六笔是什么上甘岭什么意思还政是什么意思10种代表春天的事物柏拉图代表作温度单位为摄氏和华氏,两种有什么区别乔木何许兮山高水长是什么意思世界公认三大物理学家西沙群岛也是鸟的天下可以看出什么作文大全1-2021-4041-6061-8081-100101-120121-140141-160161-180181-200感谢座右铭34句钓鱼歇后语34句言与行谚语26句做生意正能量的句子关于人性的谚语40句体育类座右铭25句唯美的女生性签名82句理想志向的名言警句35句五一节日祝福短语99句二十句英文谚语励志古谚语83句关于情人节祝福短信87句入团动情说说37句有关看书的名人名言95句伟人的读书名言93句观看雨中的树观后感汇总一些谚语和名言85句新来的师自我介绍关于谦逊谚语70句加油的英文谚语有关清明农业谚语34句世界环境日的意义世界环境日的手抄报内容歇后语短的30句适合深夜发给对象的话表示爱意的诗词保字歇后语43句经典动漫《蜡笔小新》经典台词、语录残酷的伤感句子学字的谚语75句关心男朋友的短信81句儿童节朋友圈说说可爱37句经历和经验谚语30句抖音上的情话句子83句巨浪拟人句10句文艺告白情话短句表示团结就是力量的谚语34句你走的时候没有说告诉我写简单的拟人句40句格言座右铭勤奋31句励志的话简短霸气92句描写珍惜友谊的句子42句妈妈的句子：赞美母亲的句子好句心痛的快乐的句子说说心情短语心痛心疼的句子说说心情形容江水的句子愁的造句121句孩子升学祝福语74句思念情人伤感的短信80句简单的拜年短信100句形容爱读书的名言85句描写友情的好词好句很有哲理的心情说说81句关于雪的优美句子86句歇后语文化内涵63句晚安看透人心的句子描写感动到哭的亲情句子不努力而心痛的句子人生后悔难过的句子因为在乎所以心痛的句子受挫写下感人句子开心的句子动作描写有关人物心情的句子35句不光还造句86句成功与失败的名言警句35句会计性座右铭41句赞美夫妻感情的句子44句适合心情孤独寂寞的朋友圈名人名言诚信100句小清新拟人句40句夸女生身材好的句子孤独的时候适合发朋友圈的句子内心孤独没有人懂的句子作文排比句33句参赛宣言大全集93句抖音里面伤感语录83句有关亲情的抒情的句子关于中秋思念的伤心句子婚姻爱情经典句子说说心情短语41句2020《新时代好少年》观后感初三班级励志名言100句西游记歇后语大全猴子61句异地男友生日祝福语100句不懂的歇后语36句读书手抄报名人名言83句非主流qq爱情签名80句让女孩感动的甜蜜的话残忍现实的句子99句和遇见友情有关的英文句子教师谚语大全39句希望造排比句14句爱情短信85句带省份的爱情文案很温柔的城市说说季羡林名言56句但的造句子100句关于观察发现谚语32句堕落的句子80句莎士比亚的名言警句33句对小朋友表扬和鼓励的话2016年张小娴经典语录成为第一名的感悟关于名人读书的名言91句描写夏雨的优美段落43句父母对高考生的祝福语发朋友圈早安的句子发朋友圈的精美句子关于蓝天白云的句子71句我爱你爱到心痛的句子励志的性签名适合男100句初雪的诗句做事谚语38句句句是心酸的高级情绪文案给情人的手机短信81句醉后后悔的句子我们可以转身，但是不必回头让男朋友感动到心痛的句子错过机会的名言73句离开一城市的伤感说说44句猴年拜年短信大全80句90后创业心酸句子西游记里人物的歇后语75句农业小谚语66句有关雪谚语65句学生谚语83句关于奋斗的谚语85句给未知恋人的短信82句经典爱情人生感悟：有一种感情叫无缘从不造句118句肉麻表白语录孝敬父母的谚语45句拟人句春24句妈妈生日最贴心的话妈妈生日快乐祝福语关于男女谚语12句2020圣诞节英文祝福语圣诞祝福语集锦爱情表白最感动的句子对女孩的表白经典语录排比句10句坚持的谚语英文屈原的人生感悟句子《名人名言》读后感范文描写音乐的句子最感人的朋友圈吃货的语录64句错误造句98句回忆过往伤感句子复仇者联盟2:奥创纪元经典台词泰戈尔飞鸟集双语描写水的名言名句36句大格局女孩发圈的人间清醒语录英语谚语行动大于言语49句徐志摩的爱情诗名句奇门遁甲全书经典语录22句关于农时气象的谚语135句qq签名拽90后超长女生81句描写太阳景色的好段40句深夜疲倦心累的句子对前妻后悔的句子初中生班级格言92句挽留的心酸句子医院墙上的标语101句关于教育的英语谚语女朋友生日祝福语零食广告语经典语录80句qq心情说说签名80句2021年最伤感的说说73句二年级用已经造句大全100句有关春节的歇后语55句晚安心语优美的语句送女孩子从不曾放弃追求，从不愿放弃自己的所有花的谚语大全66句小麦拟人句12句黄山景色的谚语20句描写夏雨拟人句26句经典英文爱情短句圣诞节伤感文案短句说说许愿唯美句子73句养生的谚语83句带有荷花的诗句71句关于乐观的英文谚语感悟幸福人生的人生感悟胡萝卜先生的长胡子续写表达想念的话91句描写好心情的句子描写生命的名人名言40句七字歇后语83句描写心情伤感的句子78句扣扣伤感爱情签名100句排比句夸老师27句感谢闺蜜们给我过生日的说说44句感恩亲情给矛温暖关怀的句子六年级谚语大全英语广州歇后语81句中国成立70周年阅兵观后感《燕子专列》读后感国庆节标语100句爱国情怀诗句52句关于孤独的句子100句自信和乐观的诗句名言_自信乐观的诗句名言大全关于距离的名言82句童年的读后感受心痛后远行的句子心静如水波澜不惊的唯美句子治班格言爱问星球扫一扫访问小程序关于我们爱问协议帮助中心意见反馈京ICP证000007-6爱问知识人-Copyright©2024版权所有
关键词: 深度学习, 认知领域, 人际领域和自我领域
AI技术: 机器学习, 深度学习, 计算机视觉, 自然语言处理, 强化学习
行业: 教育, 计算机科学金融
重大事件摘要: 这篇文章中的重大事件包括：

1. 深度学习的概念被提出，并被美国国家研究理事会概括为一个专业概念。
2. 深度学习的素养被划分为认知领域、人际领域和自我领域三个范畴。
3. 深度学习被认为是从当前外控学习向内驱力学习的转型，是解决问题层次逐级提高的学习。
